出発日,出発曜日,旅作最低金額,検索日,発方面,着方面,発空港,着空港,旅作往路経由地情報,旅作復路経由地情報,旅作往路便番号,旅作復路便番号,旅作往路出発時刻,旅作復路出発時刻,旅作プラン名,旅作部屋タイプ,旅作食事条件,都道府県,地区,施設名,宿泊形態,利用人数
20251209,火,45400,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251209,火,50000,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251210,水,45400,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251210,水,43900,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251211,木,44100,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251211,木,43700,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251212,金,42800,20251121,関西,九州,伊丹,福岡,,,3169,0428,1030,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251212,金,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251213,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251213,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251214,日,43300,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251214,日,57500,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251215,月,40600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251215,月,38600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251216,火,40600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251216,火,39500,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251217,水,40600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251217,水,41300,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251218,木,46000,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251218,木,47800,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251219,金,63600,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251219,金,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251220,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251220,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251221,日,58200,20251121,関西,九州,伊丹,福岡,,,3167,0420,0705,0710,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251221,日,56900,20251121,関西,九州,伊丹,福岡,,,3167,0420,0705,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251222,月,39600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251222,月,38500,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251223,火,39600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251223,火,39000,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251224,水,42800,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251224,水,45300,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251225,木,54200,20251121,関西,九州,伊丹,福岡,,,3167,0428,0705,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251225,木,58300,20251121,関西,九州,伊丹,福岡,,,3167,0428,0705,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251226,金,59700,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251226,金,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251227,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251227,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251228,日,59700,20251121,関西,九州,伊丹,福岡,,,0429,0420,2005,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251228,日,77000,20251121,関西,九州,伊丹,福岡,,,0429,0420,2005,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251229,月,65100,20251121,関西,九州,伊丹,福岡,,,3167,3168,0705,0850,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251229,月,72500,20251121,関西,九州,伊丹,福岡,,,3167,3168,0705,0850,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251230,火,56900,20251121,関西,九州,伊丹,福岡,,,0427,0430,1705,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251230,火,65000,20251121,関西,九州,伊丹,福岡,,,0427,0430,1705,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251231,水,60300,20251121,関西,九州,伊丹,福岡,,,0429,0420,2005,0710,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
